xName,size
ROCK2,11.044083526682135
RON,10.0
ROR1,10.0
ROR2,10.116009280742459
ROS,10.348027842227378
RSK2,10.580046403712297
RSK2_b,10.464037122969838
RSK3,10.232018561484919
RSK3_b,10.232018561484919
RSK4,10.232018561484919
RYK,10.0
SGK1,10.348027842227378
SLK,10.580046403712297
SMG1,11.044083526682135
SNRK,10.0
SRC,12.204176334106728
SRPK1,11.044083526682135
SRPK2,10.116009280742459
STLK5,10.116009280742459
SYK,18.816705336426914
SgK085,10.0
SgK223,10.0
SgK269,10.0
SgK495,10.0
TAK1,12.436194895591647
TAO3,10.0
TBK1,12.320185614849187
TGFbR1,13.82830626450116
TGFbR2,10.580046403712297
TIE2,10.812064965197216
TLK2,10.0
TNIK,10.580046403712297
TRKA,15.56844547563805
TRKB,10.348027842227378
TRKC,10.348027842227378
TTBK1,10.928074245939674
TTBK2,10.464037122969838
TTK,18.584686774941993
TTN,10.232018561484919
TYK2,13.132250580046403
TYK2_b,11.74013921113689
Trb1,10.232018561484919
ULK1,10.464037122969838
ULK2,10.348027842227378
ULK3,10.116009280742459
ULK4,10.116009280742459
VRK1,12.552204176334106
VRK2,10.348027842227378
VRK3,10.0
Wee1,12.320185614849187
Wee1B,10.0
Wnk1,10.348027842227378
Wnk3,10.580046403712297
YANK1,10.0
YSK1,10.232018561484919
ZAK,10.348027842227378
ZAP70,10.232018561484919
p110a,17.192575406032482
p110d,11.392111368909513
p110g,21.948955916473317
p38a,38.07424593967517
p38b,10.232018561484919
p38d,10.696055684454755
p38g,10.232018561484919
p70S6K,12.204176334106728
